header
日本語count,time,value1,value2,trigger1,trigger2
144,7.25,-1.233233644,-1.2949708619,3,0
145,7.3,-1.1526825765,-0.9514078132,3,0
146,7.35,-0.7016699282,-1.0326873971,3,0
147,7.4,-0.8724341116,-0.8827043553,3,0
148,7.45,-0.5566330405,-0.7929076043,3,0
149,7.5,-1.2079849388,-0.5028765387,3,0
150,7.55,-0.7014641916,-0.9507650421,3,0
151,7.6,-0.8209265545,-0.4609897747,3,0
152,7.65,-1.4883043301,-0.8749130984,3,0
153,7.7,-1.0730296396,-0.5911558025,3,0
154,7.75,-0.7723630438,-0.6801548074,3,0
155,7.8,-1.140675009,-0.4427267399,3,0
156,7.85,-0.8810436365,-0.5098119825,3,0
157,7.9,-1.1844798156,-0.3947600654,3,0
158,7.95,-1.0661108778,-0.5985740447,3,0
159,8,-1.1233926739,-0.1758130974,3,0
160,8.05,-0.8929136056,-0.1968059295,3,0
161,8.1,-0.980804332,-0.5440108681,4,0
162,8.15,-0.7013694928,0.139217113,4,0
163,8.2,-1.1314758535,-0.0332901204,4,0
164,8.25,-1.186930224,-0.2835148002,4,0
165,8.3,-0.722923163,0.1671823268,4,0
166,8.35,-0.5162022626,0.2673557064,4,0
167,8.4,-1.0458985335,-0.0461396564,4,0
168,8.45,-1.1276811565,0.0053350588,4,0
169,8.5,-0.7575951146,0.0952252593,4,0
170,8.55,-0.8538431568,-0.0873258741,4,0
171,8.6,-0.7564677289,0.0937376452,4,0
172,8.65,-0.7866736879,0.1486301448,4,0
173,8.7,-0.6296666306,-0.133454212,4,0
174,8.75,-0.9127090395,0.2547041581,4,0
175,8.8,-0.528439311,-0.0733366097,4,0
176,8.85,-0.7519787548,0.0390204144,4,0
177,8.9,-0.6569207607,0.7111633046,4,0
178,8.95,-0.3127803641,0.9256153753,4,0
179,9,-0.7820690836,0.5364597364,4,0
180,9.05,-0.5683879995,0.5336333805,4,0
181,9.1,-0.4490512739,0.7538378788,4,0
182,9.15,-0.4779083599,0.6465715342,4,1
183,9.2,-0.3748443794,0.9818526485,4,1
184,9.25,-0.3640531467,0.6857753339,4,1
185,9.3,-0.4979959788,0.4799397291,4,1
186,9.35,-0.1096583256,0.5902197372,4,1
187,9.4,-0.2718360062,0.8556854204,4,1
188,9.45,-0.1233066896,0.5387000003,4,1
189,9.5,-0.1867266799,0.6869565957,4,1
190,9.55,-0.3890099028,0.2360588361,3,1
191,9.6,-0.524522874,0.8493527277,3,1
192,9.65,-0.6537452048,0.7172314321,3,1
193,9.7,-0.1981727076,1.2623047179,3,1
194,9.75,-0.259222991,0.6077637316,3,1
195,9.8,-0.2910357948,1.3835152716,3,1
196,9.85,-0.4480328352,0.8570073813,3,1
197,9.9,-0.1985809752,0.8847559437,3,1
198,9.95,-0.2719377244,1.0254814275,2,1
199,10,-0.2008651236,1.5701192438,2,1
200,10.05,-0.0417650229,0.8702314915,2,1
201,10.1,-0.1853193146,0.9734757177,2,1
202,10.15,0.3712968753,0.9897314842,2,1
203,10.2,-0.3499476418,1.655426341,2,1
204,10.25,0.1334569872,1.1354327279,2,1
205,10.3,0.3472666159,1.383107369,2,1
206,10.35,0.0932970433,1.0940383246,2,1
207,10.4,0.1416104084,0.9080583094,2,1
208,10.45,0.1935509045,1.0201147279,2,1
209,10.5,0.512336302,0.7232151278,2,1
210,10.55,0.4512430577,1.216019324,2,1
211,10.6,0.3073498049,1.1497385695,2,1
212,10.65,0.0627859772,1.3884918482,2,1
213,10.7,0.3150957104,1.4261375611,2,1
214,10.75,-0.0602086955,0.92910946,2,1
215,10.8,0.474068292,1.2718305721,2,1
216,10.85,0.4721541864,1.0400245333,2,1
217,10.9,0.9084655679,1.03901407,2,1
218,10.95,0.4676109824,1.1504678362,2,1
219,11,0.9204469046,1.0693814238,2,1
220,11.05,0.5966424196,1.037300391,2,1
221,11.1,0.6218669253,0.7478791654,2,1
222,11.15,0.4312205453,0.8735877741,2,1
223,11.2,0.4132839924,0.6740584333,2,1
224,11.25,0.7729669214,1.1244073474,2,1
225,11.3,0.8126500574,1.0685413147,2,1
226,11.35,0.6393831383,0.9997108133,2,1
227,11.4,0.4498175373,0.6838455841,2,1
228,11.45,1.1763757076,0.8180428437,2,1
229,11.5,0.6715345777,0.8729593494,2,1
230,11.55,0.8854467194,0.7606843083,2,1
231,11.6,0.9813659974,1.2767935847,2,1
232,11.65,0.645962349,1.1344853269,2,1
233,11.7,0.9160122213,0.6426358777,2,1
234,11.75,0.8898269776,1.0848056395,2,1
235,11.8,1.0065247984,0.7320674817,2,1
236,11.85,0.7305312511,0.7619897576,2,1
237,11.9,0.9108646287,0.8964992562,2,1
238,11.95,0.5216767002,1.3724301254,2,2
239,12,0.6988263903,1.2723525117,2,2
240,12.05,0.8845004779,0.7359076604,2,2
241,12.1,1.1011544788,0.7989664672,2,2
242,12.15,0.812915908,0.9554339689,2,2
243,12.2,1.0491554641,0.9946156565,2,2
244,12.25,0.5647495722,1.0053742533,1,2
245,12.3,0.8899987797,1.1406874673,1,2
246,12.35,1.0281328007,0.8489303602,1,2
247,12.4,0.5792365505,0.5620527631,1,2
248,12.45,1.0830988675,0.8083436411,1,2
249,12.5,1.1525455845,1.2441597124,1,2
250,12.55,0.7627318811,0.6148845791,1,2
251,12.6,1.0192633989,0.8787185053,1,2
252,12.65,0.6245881796,0.7970008595,1,2
253,12.7,0.7963612741,0.6549589714,1,2
254,12.75,0.9227183216,0.5202097097,1,2
255,12.8,0.8415859869,0.636134539,1,2
256,12.85,1.1669304762,0.9901721775,1,2
257,12.9,0.941898406,0.6096762342,1,2
258,12.95,1.0909723314,0.3948784118,2,2
259,13,1.1723970811,0.2535083684,2,2
260,13.05,0.9114650443,0.1473428885,2,2
261,13.1,0.8148039156,0.2957957673,2,2
262,13.15,0.9371672137,0.5466522976,2,2
263,13.2,0.8051260817,0.3941505042,2,2
264,13.25,0.7585628006,0.3753616297,2,2
265,13.3,0.9359975032,0.6638551133,2,2
266,13.35,1.0925437039,0.0400324247,1,2
267,13.4,0.6483961319,0.4191390803,1,2
268,13.45,0.8948776139,0.3831933803,1,2
269,13.5,0.6911630134,0.3053796581,1,2
270,13.55,0.722878235,0.3645861973,1,2
271,13.6,0.9233120781,0.4567228642,1,2
272,13.65,0.4190964068,-0.0851901343,1,2
273,13.7,0.7189258152,0.3351616189,1,2
274,13.75,0.8684844071,-0.0752615012,1,2
275,13.8,0.8682900411,0.3266109847,1,2
276,13.85,0.6434860898,0.289707222,0,2
277,13.9,0.6045744295,0.3934207773,0,2
278,13.95,0.3301345204,0.2004513807,0,2
279,14,0.6093375517,0.2228982564,0,2
280,14.05,0.3563426363,0.1903750176,0,2
281,14.1,0.5696415615,-0.3502729828,0,2
282,14.15,0.2091599611,0.1725358638,0,2
283,14.2,0.2117564641,0.0868601769,0,2
284,14.25,0.8116329465,0.1940368335,0,2
285,14.3,0.4233123728,0.1884822276,0,2
286,14.35,0.2887285803,0.3525985741,0,2
287,14.4,0.4589722027,-0.393175052,0,2
288,14.45,0.4235233168,-0.2372203578,0,2
289,14.5,0.3522924302,0.037903951,0,2
290,14.55,0.2602680833,0.1653509001,0,2
291,14.6,0.3286392212,0.1387091531,0,2
292,14.65,0.108004186,-0.1489780932,0,2
293,14.7,0.0381501176,-0.0836030893,0,2
294,14.75,0.2379223123,0.1531383888,0,2
295,14.8,0.4792877561,0.0450802476,0,2
296,14.85,-0.1938421714,-0.2017637427,0,2
297,14.9,0.3382197993,0.1532671218,0,2
298,14.95,-0.045831722,-0.5243075042,0,2
299,15,0.0876684619,-0.1114406347,0,2
300,15.05,0.0103356138,-0.0776193869,0,2
